"","MasterID","Year","SMC_LU","SMCShed","County","CSCI","Class"
"4","408BA0036",2014,"Urban","Calleguas","Ventura",0.502387548,"Class4"
"5","408BA0036",2015,"Urban","Calleguas","Ventura",0.552756051,"Class4"
"6","408BA0036",2016,"Urban","Calleguas","Ventura",0.599437253,"Class4"
"10","408BA0660",2014,"Agricultural","Calleguas","Ventura",0.577124859,"Class4"
"11","408BA0660",2015,"Agricultural","Calleguas","Ventura",0.686295297,"Class3"
"12","408BA0660",2016,"Agricultural","Calleguas","Ventura",0.544363119,"Class4"
"14","408BA0836",2014,"Agricultural","Calleguas","Ventura",0.548216371,"Class4"
"15","408BA0836",2015,"Agricultural","Calleguas","Ventura",0.656004889,"Class3"
"17","408BA0836",2016,"Agricultural","Calleguas","Ventura",0.518465333,"Class4"
"55","ME-CC",2014,"Agricultural","Calleguas","Ventura",0.534907068,"Class4"
"56","ME-CC",2015,"Agricultural","Calleguas","Ventura",0.466336456,"Class4"
"57","ME-CC",2016,"Agricultural","Calleguas","Ventura",0.629775771,"Class4"
"386","SMC00520",2014,"Open","LosAngeles","Los Angeles",0.864989122,"Class2"
"387","SMC00520",2015,"Open","LosAngeles","Los Angeles",0.918098605,"Class2"
"388","SMC00520",2016,"Open","LosAngeles","Los Angeles",0.951794264,"Class1"
"966","903NP9SLR",2014,"Open","NorthernSanDiego","San Diego",0.816402801,"Class2"
"967","903NP9SLR",2015,"Open","NorthernSanDiego","San Diego",0.569713417,"Class4"
"968","903NP9SLR",2016,"Open","NorthernSanDiego","San Diego",0.636301037,"Class3"
"1116","SGUT502",2014,"Open","SanGabriel","Los Angeles",0.785755799,"Class3"
"1117","SGUT502",2015,"Open","SanGabriel","Los Angeles",0.862224661,"Class2"
"1118","SGUT502",2016,"Open","SanGabriel","Los Angeles",0.496339052,"Class4"
"1123","SGUT503",2014,"Open","SanGabriel","Los Angeles",1.001271779,"Class1"
"1124","SGUT503",2015,"Open","SanGabriel","Los Angeles",1.039020951,"Class1"
"1125","SGUT503",2016,"Open","SanGabriel","Los Angeles",1.136848732,"Class1"
"1328","901BELOLV",2014,"Open","SanJuan","Orange",1.11884562,"Class1"
"1331","901BELOLV",2015,"Open","SanJuan","Orange",0.828748723,"Class2"
"1332","901BELOLV",2016,"Open","SanJuan","Orange",0.972966769,"Class1"
"1339","901NP9FLC",2014,"SMC_out","SanJuan","Orange",0.817720122,"Class2"
"1340","901NP9FLC",2015,"SMC_out","SanJuan","Orange",0.88778981,"Class2"
"1341","901NP9FLC",2016,"SMC_out","SanJuan","Orange",0.872194508,"Class2"
"1378","SMC00206",2014,"Urban","SanJuan","Orange",0.725160186,"Class3"
"1379","SMC00206",2015,"Urban","SanJuan","Orange",0.657856531,"Class3"
"1380","SMC00206",2016,"Urban","SanJuan","Orange",0.758520044,"Class3"
"1382","SMC00873",2014,"Urban","SanJuan","Orange",0.814801779,"Class2"
"1383","SMC00873",2015,"Urban","SanJuan","Orange",0.704071363,"Class3"
"1384","SMC00873",2016,"Urban","SanJuan","Orange",0.611675667,"Class4"
"1422","403BA0136",2014,"Open","SantaClara","Los Angeles",0.796901969,"Class2"
"1423","403BA0136",2015,"Open","SantaClara","Los Angeles",0.923504483,"Class1"
"1425","403BA0136",2016,"Open","SantaClara","Los Angeles",0.998111152,"Class1"
"1511","403BA0027",2014,"Open","SantaClara","Ventura",0.916535931,"Class2"
"1512","403BA0027",2015,"Open","SantaClara","Ventura",0.768807197,"Class3"
"1513","403BA0027",2016,"Open","SantaClara","Ventura",0.668683239,"Class3"
"1653","ME-SCR",2014,"Agricultural","SantaClara","Ventura",0.48315897,"Class4"
"1654","ME-SCR",2015,"Agricultural","SantaClara","Ventura",0.47140874,"Class4"
"1655","ME-SCR",2016,"Agricultural","SantaClara","Ventura",0.477830635,"Class4"
"1919","911KCKCRx",2014,"SMC_out","SouthernSanDiego","San Diego",1.000562126,"Class1"
"1920","911KCKCRx",2015,"SMC_out","SouthernSanDiego","San Diego",0.901369119,"Class2"
"1921","911KCKCRx",2016,"SMC_out","SouthernSanDiego","San Diego",1.065741393,"Class1"
"1949","911NP9UCW",2014,"SMC_out","SouthernSanDiego","San Diego",1.012892888,"Class1"
"1951","911NP9UCW",2015,"SMC_out","SouthernSanDiego","San Diego",0.987033909,"Class1"
"1952","911NP9UCW",2016,"SMC_out","SouthernSanDiego","San Diego",0.907657859,"Class2"
"2329","ME-VR2
",2014,"Urban","Ventura","Ventura",0.774107156,"Class3"
"2330","ME-VR2
",2015,"Urban","Ventura","Ventura",0.802663788,"Class2"
"2331","ME-VR2
",2016,"Urban","Ventura","Ventura",0.554902802,"Class4"
